date,location,event,participants_on_record,source_urls,notes
1992-11-15,Palm Beach FL,Additional NBC archive reporting on 1992 Mar-a-Lago party footage,NBC News (archival); Donald Trump; Jeffrey Epstein,https://www.nbcnews.com/video/archives-trump-and-epstein-at-1992-party-1595387587925,Secondary anchor noting presence on tape; corroborative reference.
1998-10-01,New York NY,Press mentions of Epstein philanthropic donations via media profiles (late 1990s),Jeffrey Epstein (subject),https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Contextual media profile; presence as subject of reporting.
1999-02-01,New York NY,Society-page coverage of Epstein in NYC social circuit (1999),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Public-profile article used as context anchor.
2000-09-01,New York NY,Public references to private jet travel and social calendar (early 2000s),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,General travel/social context; no passenger lists here.
2002-02-09,New York NY,New York Magazine item mentions of Epstein in elite circles (2002),Jeffrey Epstein (subject),https://nymag.com/nymetro/news/people/n_7912/,Public-profile context anchor.
2003-03-01,New York NY,Vanity Fair profile publication,Jeffrey Epstein (subject),https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Magazine profile anchor (publication date).
2005-07-25,Palm Beach FL,Search warrants and affidavits reported in media coverage of PBPD probe,Palm Beach Police Department,https://www.miaminewtimes.com/news/the-secret-life-of-jeffrey-epstein-6391777,Media summary of warrant activity; used as timeline color.
2007-06-30,Miami FL,Non-prosecution agreement period referenced in press histories,U.S. Attorney’s Office (SDFL); defense counsel,https://www.miamiherald.com/news/state/florida/article220097825.html,Miami Herald investigative backdrop on NPA timeline.
2008-07-01,Palm Beach FL,Registered sex offender status reports begin (state),State of Florida,https://www.palmbeachpost.com/story/news/2019/07/11/jeffrey-epstein-sex-offender-status/1589767007/,Registry status anchor referenced by reputable outlets.
2010-08-01,New Mexico (Zorro Ranch),Media references to property portfolio including New Mexico ranch,Jeffrey Epstein (property owner),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Property list reporting; presence as owner.
2011-09-01,Cambridge MA,MIT Media Lab internal emails later reveal Epstein donations; event appearances with guests described,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Donations controversy; reporting references 'guests' described as Eastern European models (no specific nationalities named).
2012-01-20,Constanța Romania,Romanian Angels/EHLY visit coverage in Romanian press (early 2012),Erika Frantzve (Kirk); EHLY,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Local media item documenting orphanage donations/visits.
2014-12-30,New York NY,Court filings (Giuffre v. Maxwell) initial civil action timeframe,Virginia Giuffre; Ghislaine Maxwell,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Docket index anchor for case existence (not content).
2015-01-03,London / New York,Renewed international media coverage of accusations (2015 wave),News organizations,https://www.bbc.com/news/uk-30664060,Media cycle anchor; no determinations implied.
2015-01-10,UK/US (email),Maxwell internal email re 'press hell' (as unsealed later),Ghislaine Maxwell,(uploaded doc),From unsealed civil bundle; timing anchor for PR/legal posture.
2016-06-17,New York NY,"Counsel letter listing produced materials incl. PBPD deposition, incident report",Boies Schiller Flexner; Haddon Morgan & Foreman,(uploaded doc),Discovery production specifics; date anchor.
2019-07-08,New York NY,Bail memo / detention reporting day-after-arrest,SDNY; press pool,https://www.reuters.com/world/us/,Coverage anchor adjacent to detention hearings.
2019-11-16,London UK (BBC),BBC Newsnight interview airs,Prince Andrew; BBC Newsnight,https://www.bbc.com/news/uk-50449339,Broadcast date anchor.
2019-11-17,London UK,Post-interview coverage and public statements,Buckingham Palace (institutional),https://www.theguardian.com/uk-news/2019/nov/17/prince-andrew-epstein-bbc-interview-reaction,Immediate reaction coverage anchor.
2020-07-02,New Hampshire / SDNY,Arrest of Ghislaine Maxwell; initial SDNY proceedings,Ghislaine Maxwell; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,DOJ press release; proceeding anchor.
2021-11-29,SDNY (NYC),Start of Ghislaine Maxwell criminal trial,U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial opening anchor.
2021-12-29,SDNY (NYC),Jury verdict finding Maxwell guilty on multiple counts,U.S. v. Ghislaine Maxwell; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor (DOJ press release).
2022-06-28,SDNY (NYC),Ghislaine Maxwell sentencing,SDNY; Ghislaine Maxwell,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor (DOJ press release).
2024-01-04,Online archives,Additional unsealed document compilations mirrored by archives,PublicIntelligence; third-party mirrors,https://publicintelligence.net/ghislaine-maxwell-epstein-files-batch-8-2024/,Mirror access; complements SDNY unsealing order.
2025-09-26,Washington DC,Oversight minority memo referencing continuing releases (status update),House Oversight (Democratic members),https://democrats-oversight.house.gov/,Status update anchor on committee releases timeline.
2025-10-03,Washington DC,Press coverage of committee obtaining additional calendars/call logs,U.S. House Oversight; press,https://www.washingtonpost.com/politics/,Batch coverage anchor; use with committee primary links.
