date,location,event,participants_on_record,source_urls,notes
1998-04-30,U.S. Virgin Islands (St. Thomas),Press references to deed/LLC records tied to purchase of Little St. James,Jeffrey Epstein; L.S.J. LLC,"https://en.wikipedia.org/wiki/Little_Saint_James,_U.S._Virgin_Islands",Ownership context anchor; use for property timeline.
2002-08-01,New York NY,NYT profile: financier with science philanthropy (public bio context),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Public bio/profile; context only.
2003-03-01,New York NY,Vanity Fair profile publication (context),Jeffrey Epstein (subject),https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Profile anchor; presence as subject of reporting.
2005-03-15,Palm Beach FL,PBPD investigation window (complaint received; inquiry begins),Palm Beach Police Department,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Investigation anchor per mainstream timeline.
2006-05-12,Palm Beach FL,Press notes growing PBPD case file and state-level actions,Palm Beach County State Attorney; PBPD,https://apnews.com/article/epstein-maxwell-timeline-b9f15710fabb72e8581c71e94acf513e,Procedural milestone (reporting).
2008-06-30,Palm Beach FL,Florida plea & sentencing reported,State of Florida; Jeffrey Epstein,https://www.britannica.com/biography/Jeffrey-Epstein,Outcome anchor; links to reference timeline.
2010-12-05,New York NY (Central Park),Candid photographs document walk,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park,Presence-only visual anchor.
2011-09-15,Cambridge MA,Tech reporting details Media Lab donations/visits; describes 'Eastern European models' guests,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Guest descriptor appears in reporting; no specific nationalities named.
2012-06-03,Las Vegas NV,Miss USA 2012 broadcast (Erika Frantzve competes),Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Miss_USA_2012,Broadcast anchor.
2012-10-15,Constanța Romania,Local reports: Romanian Angels/EHLY donations to Antonio Placement Center,EHLY; Antonio Placement Center,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Documented activity window (2011–2015).
2014-07-01,Constanța Romania,Follow-on Romanian media item: donations and hospital support,EHLY; local hospital,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Press item; context anchor.
2019-07-06,New York NY,Arrest announced; SDNY press & wire coverage,DOJ; SDNY,https://www.reuters.com/world/us/jeffrey-epstein-arrest-2019-07-07/,Arrest anchor.
2019-07-15,New York NY (Federal Court),Detention hearing; wire photography/video,SDNY; court officers; defense,https://www.reuters.com/world/us/,Hearing day coverage.
2019-07-31,New York NY (MCC / court),Ongoing filings and media coverage; additional wire sets,SDNY; BOP (institutional),https://www.reuters.com/world/us/,Late-July coverage anchor.
2019-08-10,New York NY (MCC),BOP statement on custodial death; ABC/Reuters coverage,BOP,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial event anchor.
2020-07-02,New Hampshire / SDNY,Ghislaine Maxwell arrested; DOJ press release and subsequent SDNY proceeding,Ghislaine Maxwell; DOJ,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,Arrest anchor.
2021-11-29,SDNY (NYC),Maxwell criminal trial opens,U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial opening anchor.
2021-12-29,SDNY (NYC),Maxwell guilty verdict (DOJ release),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor.
2022-06-28,SDNY (NYC),Maxwell sentencing (DOJ release),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor.
2024-01-03,"SDNY Docket (Giuffre v. Maxwell, 15-cv-7433)",Unsealing order; combined filing appears on docket,U.S. District Court SDNY; Judge Loretta Preska,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Primary docket mirror; use with uploaded combined PDF reference.
2024-01-05,Online archives,Guardian/PublicIntelligence mirrors of unsealed batches,The Guardian; PublicIntelligence,https://www.theguardian.com/us-news/2024/jan/03/epstein-documents-unsealed;https://publicintelligence.net/ghislaine-maxwell-epstein-files-batch-8-2024/,Public mirrors for accessibility.
2025-09-02,Washington DC (House Oversight),"Committee release: DOJ production (33,295 pages)",House Oversight; DOJ,https://oversight.house.gov/release/oversight-committee-releases-33295-pages-of-doj-epstein-production/,Official committee release.
2025-09-03,Washington DC (U.S. Capitol),C‑SPAN coverage: survivors & members press events,Members of Congress; survivors,https://www.c-span.org/,Public video anchor.
2025-09-08,Washington DC (House Oversight),Committee release: Estate production,House Oversight; Epstein Estate,https://oversight.house.gov/release/epstein-estate-produces-documents-oversight-committee/,Official committee release.
2025-10-17,Washington DC (House Oversight),Additional batch includes Alex Acosta interview transcript; calendars/call logs,House Oversight; Alex Acosta,https://www.washingtonpost.com/politics/2025/10/17/house-epstein-files/,Coverage anchor; pair with committee primary links.
