date,location,event,participants_on_record,source_urls,notes
1996-09-01,New York NY,Media references to Epstein philanthropy and science patronage (pre-2000),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Early public-profile context.
2001-05-01,New York NY,Coverage of social events featuring Epstein in NYC circuit (early 2000s),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Presence in society reporting; no event allegations.
2002-05-01,Africa (trip reported),Public reporting of 2002 trip with prominent figures,Public figures named in articles,https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Travel reporting context (use as backdrop only).
2004-01-15,Palm Beach FL,PBPD begins compiling materials related to complaints (pre-2005 reporting),Palm Beach Police Department,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Pre-investigation context per timelines.
2007-07-09,Miami FL,Miami Herald reporting later outlines NPA history and negotiations,U.S. Attorney’s Office (SDFL); defense counsel,https://www.miamiherald.com/news/state/florida/article220097825.html,Background on NPA timeline; investigative series anchor.
2008-08-01,Palm Beach FL,Registry reporting and local monitoring post-plea,State of Florida,https://www.palmbeachpost.com/story/news/2019/07/11/jeffrey-epstein-sex-offender-status/1589767007/,Registry status context anchor.
2010-06-01,Santa Fe NM (Zorro Ranch),Property portfolio coverage includes New Mexico ranch,Jeffrey Epstein (owner),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Property list anchor.
2011-12-15,Cambridge MA,MIT Media Lab: internal email chronology later disclosed,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Donations and visits controversy; presence of 'guests' described.
2012-06-03,Las Vegas NV,Miss USA 2012 telecast,Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Miss_USA_2012,Broadcast date anchor.
2013-03-01,New York NY,Ongoing media profiles noting Epstein’s residences and travel,Jeffrey Epstein (subject),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Residence portfolio recap anchor.
2014-01-15,Constanța Romania,Local press item: continued Romanian Angels/EHLY donations,EHLY volunteers; Antonio Placement Center,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Use as documentation of activity window.
2015-01-04,UK,BBC coverage: allegations resurface widely,BBC News,https://www.bbc.com/news/uk-30664060,Media cycle anchor.
2016-05-20,New York NY,Civil discovery scheduling discussions ahead of June depositions,Counsel of record,(uploaded doc),Pre-hearing procedural anchor from unsealed materials.
2017-11-30,New York NY,Press pieces revisit case history and associates (pre-2019 arrest),Various media outlets,https://www.nytimes.com/2019/07/06/nyregion/jeffrey-epstein-arrested.html,Pre-arrest context piece.
2019-07-11,New York NY,Bail/detention filings and press reports continue,SDNY; press pool,https://www.reuters.com/world/us/,Ongoing hearing coverage.
2019-07-18,New York NY,Judge orders detention pending trial (reported),U.S. District Court SDNY,https://www.reuters.com/world/us/,Detention decision coverage anchor.
2019-08-10,New York NY,BOP statement on in-custody death released to press,Bureau of Prisons,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial event anchor.
2020-07-02,New Hampshire,Arrest of Ghislaine Maxwell (DOJ press release),Ghislaine Maxwell; DOJ,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,Criminal case initiation against Maxwell.
2021-11-29,SDNY (NYC),Ghislaine Maxwell trial opens (media + docket),U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial start anchor.
2021-12-29,SDNY (NYC),Ghislaine Maxwell guilty verdict (DOJ),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor.
2022-06-28,SDNY (NYC),Ghislaine Maxwell sentencing (DOJ),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor.
2024-01-03,SDNY (NYC),Unsealing order takes effect; rolling releases begin,Judge Loretta Preska,https://storage.courtlistener.com/recap/gov.uscourts.nysd.447706/,Primary docket mirror.
2025-09-02,Washington DC,"House Oversight: DOJ production release (33,295 pages)",House Oversight; DOJ,https://oversight.house.gov/release/oversight-committee-releases-33295-pages-of-doj-epstein-production/,Official committee release.
2025-09-08,Washington DC,House Oversight: Estate production release,House Oversight; Epstein Estate,https://oversight.house.gov/release/epstein-estate-produces-documents-oversight-committee/,Official committee release.
2025-09-18,Washington DC,Congressional Record entry of survivors’ letter,U.S. House of Representatives,https://www.congress.gov/congressional-record/2025/9/18/house-section/article/h4420-3,GPO link to Record pages.
2025-10-17,Washington DC,Additional batch incl. Acosta interview transcript; new calendars/logs,House Oversight; Alex Acosta,https://www.washingtonpost.com/politics/2025/10/17/house-epstein-files/,Coverage with links to primary committee pages.
