date,location,event,participants_on_record,source_urls,notes
1992-07-01,Palm Beach FL (Mar-a-Lago),Private club party captured on NBC archival video,Donald Trump; Jeffrey Epstein,https://www.nbcnews.com/video/archives-trump-and-epstein-at-1992-party-1595387587925,Video shows presence only; no allegations made.
1998-04-01,Little St. James USVI,Acquisition of Little St. James island,Jeffrey Epstein (via L.S.J. LLC),"https://en.wikipedia.org/wiki/Little_Saint_James,_U.S._Virgin_Islands",Ownership anchor; cross-referenced widely in reputable coverage.
2005-03-01,Palm Beach FL,PBPD opens investigation (triggered by complaint),Palm Beach Police Department; Det. Joseph Recarey,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Investigation start anchor.
2010-12-05,New York NY (Central Park),Photographs of walk in the park,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park,Presence-only photo anchor.
2011-01-01,Constanța Romania,Romanian Angels aid efforts begin (EHLY),Erika Frantzve (Kirk); Everyday Heroes Like You; Antonio Placement Center,https://www.arizonafoothillsmagazine.com/features/az-giving/6169--az-giving-spotlight-erika-frantzve-of-everyday-heroes-like-you.html,Interview references 'past two years' active by 2012; places start ≈2010–2011.
2012-05-01,Las Vegas NV / Phoenix AZ,Miss Arizona USA 2012; Miss USA participation,Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Erika_Kirk,Title year anchor.
2014-06-01,Constanța Romania,Romanian media report donations to orphanage/hospital,Everyday Heroes Like You volunteers,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Media-documented donations; presence window 2011–2015.
2016-06-07,New York NY (575 Lexington Ave),Scheduled civil deposition per subpoena (AO 88A),Sigrid S. McCawley (issuing counsel); deponents (various),(uploaded doc),Boies Schiller Flexner address and date on subpoena.
2019-07-06,New York NY,Arrest; SDNY charges announced,U.S. Attorney SDNY; DOJ,https://www.reuters.com/world/us/jeffrey-epstein-arrest-2019-07-07/,Arrest anchor; presence of press/court officers.
2019-07-15,New York NY (Federal Court),Detention hearing coverage,SDNY; Judge; defense counsel; media,https://www.reuters.com/world/us/,Hearing day wire coverage.
2019-08-10,New York NY (MCC),Death in custody reported by BOP,Bureau of Prisons,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial death anchor.
2019-07-20–2019-08-20,Little St. James USVI,Reuters aerial/documentation packages,Reuters photojournalists,https://www.reuters.com/world/americas/,High-res island scene geography.
2024-01-03,SDNY (NYC),Unsealing order; rolling public release of civil filings,Judge Loretta Preska; parties,https://www.theguardian.com/us-news/2024/jan/03/epstein-documents-unsealed,Start of 2024 public document waves.
2024-01-05,Online archives,Compiled unsealed batches published for access,News organizations; public archives,https://publicintelligence.net/ghislaine-maxwell-epstein-files-batch-8-2024/,Public mirrors for research access.
2025-09-02,Washington DC (House Oversight),"Committee release of DOJ production (33,295 pages)",U.S. House Committee on Oversight and Accountability; DOJ,https://oversight.house.gov/release/oversight-committee-releases-33295-pages-of-doj-epstein-production/,Official committee press release anchor.
2025-09-03,Washington DC (U.S. Capitol),Survivor press event and member presser (C-SPAN),"Members of Congress (e.g., Ro Khanna, Thomas Massie); survivors (various)",https://www.c-span.org/,Presence on public video; no ethnicity breakdown published.
2025-09-08,Washington DC,Committee release of Estate production,U.S. House Oversight; Epstein Estate,https://oversight.house.gov/release/epstein-estate-produces-documents-oversight-committee/,Records handling anchor.
2025-09-18,Washington DC (House Floor/Record),Congressional Record entry: “A LETTER FROM SURVIVORS…”,U.S. House of Representatives; survivors (letter),https://www.congress.gov/congressional-record/2025/9/18/house-section/article/h4420-3,Text placed into official record.
2025-10-17,Washington DC,Additional committee release (transcripts/calendars/call logs incl. Acosta interview),U.S. House Oversight; Alex Acosta (interview),https://www.washingtonpost.com/politics/2025/10/17/house-epstein-files/,Batch coverage anchor (with primary links from committee site).
